Kushagra : 2023-10-12 19:28:31.947164 : Reading the text file
Kushagra : 2023-10-12 19:28:31.947164 : conversion of string to list
Kushagra : 2023-10-12 19:28:31.976305 : Client 192.168.1.1 is UP
Kushagra : 2023-10-12 19:28:31.995804 : Client 192.168.1.2 is UP
Kushagra : 2023-10-12 19:28:32.014582 : Client 192.168.1.3 is UP
Kushagra : 2023-10-12 19:28:32.031003 : Client 192.168.1.10 is UP
Kushagra : 2023-10-12 19:28:32.049984 : Client 192.168.1.17 is UP
Kushagra : 2023-10-12 19:28:32.067799 : Client 192.168.1.56 is UP
Kushagra : 2023-10-12 19:28:32.085167 : Client 192.168.1.54 is UP
Kushagra : 2023-10-12 19:28:32.101357 : Client 192.168.1.51 is UP
Kushagra : 2023-10-12 19:28:32.123410 : Client 192.168.1.35 is UP
Kushagra : 2023-10-12 19:28:32.139877 : Client 192.168.1.33 is UP
